class,model,method,file_path,module
StockPicking,stock.picking,action_assign,C:\Cursor\Odoo\csl_addons\csl_repair\models\stock_picking.py,csl_repair
StockPicking,stock.picking,onchange_picking_type,C:\Cursor\Odoo\csl_addons\csl_repair\models\stock_picking.py,csl_repair
StockMove,stock.move,action_show_details,C:\Cursor\Odoo\csl_addons\csl_repair\models\stock_picking.py,csl_repair
StockMove,stock.move,action_assign_serial,C:\Cursor\Odoo\csl_addons\csl_repair\models\stock_picking.py,csl_repair
StockMove,stock.move,_prepare_merge_moves_distinct_fields,C:\Cursor\Odoo\csl_addons\csl_repair\models\stock_picking.py,csl_repair
StockMove,stock.move,_action_assign,C:\Cursor\Odoo\csl_addons\csl_repair\models\stock_picking.py,csl_repair
StockQuant,stock.quant,_gather,C:\Cursor\Odoo\csl_addons\csl_repair\models\stock_picking.py,csl_repair
ProductionLot,stock.production.lot,create,C:\Cursor\Odoo\csl_addons\csl_repair\models\stock_production_lot.py,csl_repair
ProductionLot,stock.production.lot,write,C:\Cursor\Odoo\csl_addons\csl_repair\models\stock_production_lot.py,csl_repair
AddComponent,add.component,create,C:\Cursor\Odoo\csl_addons\csl_repair\wizard\add_component_enhance.py,csl_repair
AddComponent,add.component,action_finish,C:\Cursor\Odoo\csl_addons\csl_repair\wizard\add_component_enhance.py,csl_repair
SubTaskProductConvertToQuotation,convert.subtask.product.to.quotation,create,C:\Cursor\Odoo\csl_addons\csl_repair\wizard\convert_sub_task_quotation.py,csl_repair
TaskConvertToQuotation,project.task.convert.to.quotation,create,C:\Cursor\Odoo\csl_addons\csl_repair\wizard\convert_to_quotation.py,csl_repair
TaskConvertToQuotation,project.task.convert.to.quotation,action_finish,C:\Cursor\Odoo\csl_addons\csl_repair\wizard\convert_to_quotation.py,csl_repair
TmpProduct,tmp.cttf.product.rfq,button_select,C:\Cursor\Odoo\csl_addons\csl_repair\wizard\convert_to_rfq.py,csl_repair
TmpProduct,tmp.cttf.product.rfq,button_unselect,C:\Cursor\Odoo\csl_addons\csl_repair\wizard\convert_to_rfq.py,csl_repair
TaskConvertToRFQ,project.task.convert.to.rfq,create,C:\Cursor\Odoo\csl_addons\csl_repair\wizard\convert_to_rfq.py,csl_repair
ImproveRmaCustomerWizard,improve.rma.customer.wizard,default_get,C:\Cursor\Odoo\csl_addons\csl_repair\wizard\improve_customer_rma.py,csl_repair
ImproveRmaProductWizard,improve.rma.product.wizard,create,C:\Cursor\Odoo\csl_addons\csl_repair\wizard\improve_product_rma.py,csl_repair
MoveOrderLine,merge.order.line,default_get,C:\Cursor\Odoo\csl_addons\csl_repair\wizard\merge_soline.py,csl_repair
NotificationMessage,notification.message,default_get,C:\Cursor\Odoo\csl_addons\csl_repair\wizard\notification.py,csl_repair
ProjectTaskCreateTimesheet,project.task.create.timesheet,save_timesheet,C:\Cursor\Odoo\csl_addons\csl_repair\wizard\project_task_create_timesheet.py,csl_repair
SaleAdvancePaymentInv,sale.advance.payment.inv,default_get,C:\Cursor\Odoo\csl_addons\csl_repair\wizard\sale_advance_payment_inv.py,csl_repair
RmaPrintSerialNo,rma.print.serial_no.wizard,create,C:\Cursor\Odoo\csl_addons\csl_repair\wizard\select_printing_serial_nos.py,csl_repair
ReturnPicking,stock.return.picking,create_returns,C:\Cursor\Odoo\csl_addons\csl_repair\wizard\stock_picking_return.py,csl_repair
ProductLine,rma.product_line,create,C:\Cursor\Odoo\csl_addons\csl_rma\models\expected_delivery.py,csl_rma
ProductLine,rma.product_line,write,C:\Cursor\Odoo\csl_addons\csl_rma\models\expected_delivery.py,csl_rma
ExpectedDelivery,rma.expected_delivery,default_get,C:\Cursor\Odoo\csl_addons\csl_rma\models\expected_delivery.py,csl_rma
ExpectedDelivery,rma.expected_delivery,create,C:\Cursor\Odoo\csl_addons\csl_rma\models\expected_delivery.py,csl_rma
ExpectedDelivery,rma.expected_delivery,unlink,C:\Cursor\Odoo\csl_addons\csl_rma\models\expected_delivery.py,csl_rma
ExpectedDelivery,rma.expected_delivery,message_post,C:\Cursor\Odoo\csl_addons\csl_rma\models\expected_delivery.py,csl_rma
